semente,braco,fold,po_kpa,teor_de_fibra,comp_de_fibra,R2_q,R2_p,R2_ev
2024,com,1,50,0.0,0.0,0.4943320902629732,0.2681447060464756,0.9661787310784372
2024,sem,1,50,0.0,0.0,0.098490236170028,-4.743387596009292,0.8169152034058722
2024,com,2,50,0.5,25.0,0.4522597377358138,0.4033824478887442,0.9472618186918136
2024,sem,2,50,0.5,25.0,-0.5586414834788798,-10.257536227002143,0.9691612491128858
2024,com,3,50,0.5,51.0,0.7883612234345645,0.8233735784209428,0.9862020722499644
2024,sem,3,50,0.5,51.0,0.760517520177529,0.6008564786786548,0.972699057711212
2024,com,4,50,1.0,12.5,0.2273609915924955,0.6985113856653367,0.9116537097105886
2024,sem,4,50,1.0,12.5,0.7429486847932317,0.6627388617516963,0.8953696445727926
2024,com,5,50,1.0,25.0,0.8816882796135586,0.908413731692372,0.9257703518860184
2024,sem,5,50,1.0,25.0,0.7176090415205186,0.4481568263564095,0.9208465403784504
2024,com,6,50,1.0,51.0,0.9470139942688948,0.7940989678025363,0.9684116746274272
2024,sem,6,50,1.0,51.0,0.8315690754293829,0.7559750825921485,0.960373487532848
2024,com,7,100,0.0,0.0,0.7335720753193343,0.8631334384740388,0.9618031754240776
2024,sem,7,100,0.0,0.0,0.1427971215902764,0.6994785146405992,0.8978805487465209
2024,com,8,100,0.5,25.0,0.9086734700258432,0.837707832806941,0.4618615611145173
2024,sem,8,100,0.5,25.0,0.8136520970962472,0.8847308806990317,0.5370005106797209
2024,com,9,100,0.5,51.0,0.7500656642865242,0.7716772162297131,0.8695835070459108
2024,sem,9,100,0.5,51.0,0.8826603442975972,0.7303527595859423,0.9239812605469636
2024,com,10,100,1.0,12.5,0.8874443955162126,0.9085177339286684,0.7172601806715442
2024,sem,10,100,1.0,12.5,0.9115590724142036,0.8550285186244418,0.6272223956998761
2024,com,11,100,1.0,25.0,0.8353290629163417,0.771094923709035,0.7859634307695647
2024,sem,11,100,1.0,25.0,0.6039154594111307,0.3856541211076585,0.737718126023507
2024,com,12,100,1.0,51.0,0.9679347992883968,0.9617776185540332,0.9579262831326508
2024,sem,12,100,1.0,51.0,0.9653828069871392,0.9196931863186748,0.96232561399933
2024,com,13,200,0.0,0.0,0.9180228310129992,0.8672599990896792,0.9758080623196426
2024,sem,13,200,0.0,0.0,0.8959440466455549,0.8308253494087707,0.9687487751725172
2024,com,14,200,0.5,25.0,0.8791016417566615,0.8710357227041524,0.9580294029490628
2024,sem,14,200,0.5,25.0,0.4768889684570236,0.4576306105321978,0.9282860533924916
2024,com,15,200,0.5,51.0,0.9570714103042276,0.9547849063662924,0.9676285993346152
2024,sem,15,200,0.5,51.0,0.876443461562954,0.8924381979166109,0.9748943172690172
2024,com,16,200,1.0,12.5,0.9608638803734688,0.9719960067799824,0.9886012155802631
2024,sem,16,200,1.0,12.5,0.9479403057487398,0.90735336873949,0.9931262961958194
2024,com,17,200,1.0,25.0,0.961013809533666,0.9686436625934308,0.9276039936633552
2024,sem,17,200,1.0,25.0,0.9514213272352948,0.9205604554503596,0.894635679172322
2024,com,18,200,1.0,51.0,0.955186144512442,0.9781841906599308,0.903651345555069
2024,sem,18,200,1.0,51.0,0.9871200368251382,0.9887814363945492,0.9007652796640132
2024,com,19,300,0.0,0.0,0.929308893812689,0.9144972868505584,0.8303313818123979
2024,sem,19,300,0.0,0.0,0.8937722207728707,0.8607640457848428,0.817859851407758
2024,com,20,300,0.5,25.0,0.8957038225540576,0.8639088887138082,0.8361944339884748
2024,sem,20,300,0.5,25.0,0.8493194458012545,0.8457934397654541,0.6524343531950678
2024,com,21,300,0.5,51.0,0.8454998091139692,0.8760423177672876,0.9602118999381708
2024,sem,21,300,0.5,51.0,0.8367844669747411,0.870053918492971,0.95977832812177
2024,com,22,300,1.0,12.5,0.9624819557101134,0.9598968422135477,0.9421373400566908
2024,sem,22,300,1.0,12.5,0.972241388094749,0.9694135353183696,0.9457118083073568
2024,com,23,300,1.0,25.0,0.9446702336113814,0.9470952961337284,0.9582976773614712
2024,sem,23,300,1.0,25.0,0.9464396703615384,0.941426512631838,0.9847502915231826
2024,com,24,300,1.0,51.0,0.9381151469267748,0.942451625818509,0.796291906315119
2024,sem,24,300,1.0,51.0,0.9725295552838544,0.9653653176919096,0.865535277660209
31,com,1,50,0.0,0.0,-1.051879634887012,-6.719798975752468,0.947746043130499
31,sem,1,50,0.0,0.0,-3.0002432817775,-3.4444116121268538,0.836625706682675
31,com,2,50,0.5,25.0,-1.28597363430277,-1.423750115434375,0.9586717577927134
31,sem,2,50,0.5,25.0,-2.1272280856971304,-1.2582980429861852,0.9621143060866464
31,com,3,50,0.5,51.0,0.7072424865973093,0.3689792148822486,0.984053567264902
31,sem,3,50,0.5,51.0,0.4810917829139325,0.1318722956130443,0.9746074830011578
31,com,4,50,1.0,12.5,0.2197463692849376,0.7564002554871314,0.9129902639495164
31,sem,4,50,1.0,12.5,0.6703461927751224,0.6589299466913936,0.8954743705806292
31,com,5,50,1.0,25.0,0.8979803267769395,0.7541758533792915,0.9268639403232396
31,sem,5,50,1.0,25.0,0.345415872817806,0.4039792839222688,0.9230763021046984
31,com,6,50,1.0,51.0,0.9506135623840696,0.928121239700002,0.9679144459456094
31,sem,6,50,1.0,51.0,0.8120163231274029,0.7738321392679268,0.9635904133677204
31,com,7,100,0.0,0.0,0.918770758887228,0.8737299545121846,0.9579927471232944
31,sem,7,100,0.0,0.0,0.2849831407199865,0.0783157845427188,0.896977571498434
31,com,8,100,0.5,25.0,0.8856154575825332,0.8400166968118106,0.411677991779755
31,sem,8,100,0.5,25.0,0.7264567646453148,0.3649899556163287,0.4368077053029061
31,com,9,100,0.5,51.0,0.7616021921407192,0.772038634600278,0.8539130528348248
31,sem,9,100,0.5,51.0,0.7899802596344964,0.7476271516408669,0.918049832512687
31,com,10,100,1.0,12.5,0.9487277682865762,0.8248594568445843,0.6591549918409783
31,sem,10,100,1.0,12.5,0.7452307747231616,0.6241162202458038,0.5881632501676819
31,com,11,100,1.0,25.0,0.8910537511114088,0.8229427777889441,0.8152892418721344
31,sem,11,100,1.0,25.0,0.8005890350506788,0.7023783660860841,0.7561437206674494
31,com,12,100,1.0,51.0,0.9591655359767712,0.9458819727291276,0.969167805195269
31,sem,12,100,1.0,51.0,0.9646680867706005,0.9177310086175038,0.9537937605526744
31,com,13,200,0.0,0.0,0.9324579226286872,0.8819834901188496,0.9394617826226468
31,sem,13,200,0.0,0.0,0.9449503192628091,0.9473147250521016,0.9616994895707474
31,com,14,200,0.5,25.0,0.9182728406447548,0.9241007062520812,0.9367043864692048
31,sem,14,200,0.5,25.0,0.4663409114841426,0.17383379550944,0.9442305885637
31,com,15,200,0.5,51.0,0.9678249456844216,0.969439533869368,0.9623416613098846
31,sem,15,200,0.5,51.0,0.8730706775140566,0.7934978724528561,0.9701893397834171
31,com,16,200,1.0,12.5,0.9505816817547452,0.9703574738371284,0.9940043886782604
31,sem,16,200,1.0,12.5,0.968467877475326,0.9538240611980728,0.9771561409975282
31,com,17,200,1.0,25.0,0.9627715581461244,0.971992659739105,0.9291192394754964
31,sem,17,200,1.0,25.0,0.905916677712188,0.8195373267544307,0.9189154774529846
31,com,18,200,1.0,51.0,0.9723125857358942,0.9741319328844824,0.8940596622861015
31,sem,18,200,1.0,51.0,0.9854518119813918,0.982721907645209,0.8966818921371715
31,com,19,300,0.0,0.0,0.903431464007996,0.9135723576981392,0.8260434170729467
31,sem,19,300,0.0,0.0,0.8982553019808327,0.8455571164815892,0.8412297417619738
31,com,20,300,0.5,25.0,0.8831078464087809,0.8276476139766253,0.8481841331223304
31,sem,20,300,0.5,25.0,0.8780531862178077,0.8532114118483417,0.6945851682194255
31,com,21,300,0.5,51.0,0.8834687278344704,0.8660002887470327,0.9642201787204268
31,sem,21,300,0.5,51.0,0.8963415210258291,0.871623207482719,0.9537565071145944
31,com,22,300,1.0,12.5,0.9654571761930312,0.9686125327524744,0.9375797479461476
31,sem,22,300,1.0,12.5,0.9694167026924576,0.96514580137778,0.9481238196288366
31,com,23,300,1.0,25.0,0.9471005138366712,0.9534536736419534,0.9695465443133706
31,sem,23,300,1.0,25.0,0.967996791457089,0.9762929767573072,0.9846472533364
31,com,24,300,1.0,51.0,0.9555050369542992,0.9464768138781362,0.8489694949502309
31,sem,24,300,1.0,51.0,0.9605244134921032,0.9376227458593211,0.8910866317414453
